مدينة: 690
مصر: 503
غزة: 479
الجزائر: 451
المغرب: 334
تونس: 303
لبنان: 247
فرنسا: 233
العراق: 217
الصين: 208
سوريا: 204
ليبيا: 184
أوكرانيا: 179
اليمن: 166
اليابان: 146
دمشق: 146
إيران: 135
بيروت: 126
وسط: 113
الولايات المتحدة: 106
الهند: 106
الكويت: 102
بغداد: 98
ألمانيا: 98
دبي: 91
الأردن: 82
مدريد: 81
حلب: 74
إيطاليا: 73
الخرطوم: 63
الكاميرون: 62
فلاديمير: 62
أفغانستان: 57
إدلب: 54
بشار: 53
عدن: 52
شمالي: 48
مركز: 48
البصرة: 48
إسبانيا: 47
جبل: 46
لندن: 45
البرازيل: 45
نيويورك: 45
صباح: 44
المدينة: 43
الأرجنتين: 42
طرابلس: 42
السويد: 42
يورو: 39
كوريا الشمالية: 38
ها: 37
الرياض: 36
ماليزيا: 34
كابول: 34
الغربية: 33
البيضاء: 33
المكسيك: 33
أستراليا: 32
أبو ظبي: 31
كندا: 31
مأرب: 31
اليونان: 31
مايو: 30
الصينية: 30
طرطوس: 29
دير الزور: 29
المملكة العربية السعودية: 29
جنوبي: 29
واشنطن: 29
نيجيريا: 29
فجر: 28
ليفربول: 28
سويسرا: 27
باكستان: 27
مانشستر: 27
الشرقية: 25
أذربيجان: 25
بولندا: 25
الصحراء الغربية: 25
مالي: 25
دار: 24
بلجيكا: 23
اسطنبول: 23
الجنوب: 22
المركزي: 22
دفن: 21
الحسكة: 20
أرض: 20
طوكيو: 20
الدوحة: 20
وهران: 20
كردستان: 18
تايوان: 18
كربلاء: 18
حمص: 18
تيزي وزو: 18
هولندا: 18
البحرين: 18
تكساس: 18
حضرموت: 17
كاليفورنيا: 17
ساحل: 17
دارفور: 17
النيجر: 17
بحري: 16
المصحف: 15
البرتغال: 15
السنغال: 15
الرقة: 15
اللاذقية: 14
تعز: 14
سلطنة عمان: 14
النجف: 14
الحديدة: 13
فلوريدا: 13
دلتا: 13
خليج: 13
الأراضي الفلسطينية: 13
طهران: 13
الجيزة: 13
سوهاج: 13
بنغازي: 13
تايلاند: 12
طاجيكستان: 12
تندوف: 12
الشرق الأوسط: 12
موريتانيا: 12
كينيا: 12
الاستقلال: 12
الدنمارك: 12
فنلندا: 11
النرويج: 11
فيينا: 11
بونو: 10
غانا: 10
تنزانيا: 10
جنوب أفريقيا: 10
الجوف: 10
أسفل: 9
البيض: 9
ريف دمشق: 9
بول: 9
كرمان: 9
قرطاج: 9
أنغيلا: 9
الصومال: 9
قم: 9
عمان: 9
أنقرة: 9
أرمينيا: 9
نيلسون: 9
خنشلة: 9
قراءة: 9
الغربي: 9
سوسة: 9
الفلبين: 9
طنجة: 9
النمسا: 8
جورجيا: 8
البحر الاحمر: 8
غامبيا: 8
صلاح الدين: 8
منغوليا: 8
سنغافورة: 8
سمر: 8
الحد: 8
الفجيرة: 8
درنة: 8
الإمارات العربية المتحدة: 8
كوبا: 8
بجاية: 8
لولا: 7
البكالوريا: 7
غينيا: 7
اربيل: 7
إب: 7
مدغشقر: 7
شمال شرق: 7
الإكوادور: 7
هاتاي: 7
سانت كاترين: 7
دهوك: 7
الكاف: 7
القيروان: 7
فارس: 7
المركزية: 7
طبرق: 6
الاسكندرية: 6
أسيوط: 6
المنستير: 6
بنزرت: 6
زامبيا: 6
غازي عنتاب: 6
اليد: 6
القصرين: 6
دولة قطر: 6
بوركينا فاسو: 6
سرت: 6
مطروح: 6
جيبوتي: 6
السليمانية: 6
كنتاكي: 6
صفاقس: 5
رومانيا: 5
الوسطى: 5
مي: 5
سطيف: 5
فرح: 5
كازاخستان: 5
فيتنام: 5
شمال لبنان: 5
الزاوية: 5
جازان: 5
قسنطينة: 5
بنين: 5
بوشهر: 5
كولومبيا: 5
الأندلس: 5
الفاتح: 5
تمنراست: 5
أبين: 5
إزمير: 5
بابل: 5
أنطاليا: 5
المدية: 5
شينجيانغ: 5
غرناطة: 5
المثنى: 4
الليرة: 4
سكيكدة: 4
غوجارات: 4
أدرار: 4
أسوان: 4
القليوبية: 4
جيجل: 4
قبرص: 4
الحدود الشمالية: 4
تشيلي: 4
ليون: 4
تشاد: 4
أوغندا: 4
مونتانا: 4
البليدة: 4
قرطبة: 4
بكين: 4
صقلية: 4
بايرن ميونيخ: 4
ميسان: 4
ميتا: 4
شنغهاي: 4
البقاع: 4
الزراعية: 4
